sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 23, 2024 17:44:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
    +xefx_fifo_ram:efx_fifo_ram_ff3db65294a049509cbcec151351ef12(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=1024,RD_DEPTH=4096,WDATA_WIDTH=128,RDATA_WIDTH=32,WADDR_WIDTH=10,RADDR_WIDTH=12,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   12(12)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_ff3db65294a049509cbcec151351ef12_renamed_due_excessive_length_5	     80(80)	      22(0)	     34(34)	     67(27)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_ff3db65294a049509cbcec151351ef12(WIDTH=13)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_ff3db65294a049509cbcec151351ef12(STAGE=3,WIDTH=13)	       0(0)	     11(11)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=13)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_ff3db65294a049509cbcec151351ef12(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_ff3db65294a049509cbcec151351ef12(STAGE=3,WIDTH=11)	       0(0)	     11(11)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_ff3db65294a049509cbcec151351ef12(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
