sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 07, 2024 15:23:52

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +brams:dpram_wrapper_mwm_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
       +scan_row.row[0].column[0].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +u3_my_bram_ip:my_bram_ip                                	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.tdpram_inst:efx_true_dual_port_ram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +brams:dpram_wrapper_mwm_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
       +scan_row.row[0].column[0].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +u4_my_bram_ip:my_bram_ip                                	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.tdpram_inst:efx_true_dual_port_ram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +brams:dpram_wrapper_mwm_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
